	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	(1) Simple DiD	(2) With Controls	(3) Clean Comparison	(4) High Income	(5) With Homeown. Proxy	(6) Excl. 2020	(7) Narrow: Tax Time	(8) Pre-COVID Post Only	(9) Narrow Tax x Clean Sample
									
did_ind	-0.951*	-0.494	0.530			-0.359	-0.888*	-0.876	-0.163
	(0.500)	(0.495)	(0.557)			(0.537)	(0.463)	(0.743)	(0.483)
treatment_ind	0.917**	3.199***	2.390**			3.150***	1.665*	2.827**	1.013
	(0.372)	(0.941)	(0.918)			(0.950)	(0.910)	(1.103)	(0.914)
post_tcja	0.310	-0.426	-1.642*	-0.955	-0.507	-0.423	0.240	1.267	-0.973
	(0.781)	(0.773)	(0.850)	(0.727)	(0.745)	(0.760)	(0.640)	(0.760)	(0.702)
male		-2.127***	-2.510***	-2.125***	-2.122***	-2.235***	-2.470***	-2.223***	-2.652***
		(0.423)	(0.480)	(0.423)	(0.422)	(0.489)	(0.323)	(0.555)	(0.377)
age		0.151***	0.080	0.151***	0.150***	0.119**	0.100***	0.087	0.046
		(0.054)	(0.077)	(0.054)	(0.054)	(0.049)	(0.037)	(0.060)	(0.062)
age_2		-0.075	-0.002	-0.075	-0.074	-0.050	-0.083*	-0.014	-0.020
		(0.062)	(0.086)	(0.061)	(0.062)	(0.057)	(0.042)	(0.067)	(0.068)
full_time		-4.305***	-3.430***	-4.313***	-4.309***	-4.246***	-3.147***	-4.283***	-2.525***
		(0.442)	(0.636)	(0.441)	(0.441)	(0.476)	(0.365)	(0.448)	(0.557)
male_full_time		0.822*	1.344*	0.824*	0.806	1.009*	1.224***	1.043	1.742***
		(0.484)	(0.679)	(0.483)	(0.485)	(0.563)	(0.424)	(0.647)	(0.537)
educ_2		1.569***	1.764***	1.578***	1.540***	1.714***	0.936**	2.317***	0.970
		(0.407)	(0.649)	(0.407)	(0.413)	(0.410)	(0.378)	(0.577)	(0.596)
educ_3		4.708***	4.398***	4.716***	4.674***	4.773***	3.017***	5.127***	2.808***
		(0.447)	(0.709)	(0.448)	(0.454)	(0.450)	(0.390)	(0.664)	(0.602)
hispanic		-1.499***	-2.237***	-1.497***	-1.492***	-1.557***	-1.356***	-2.032***	-1.888***
		(0.343)	(0.456)	(0.345)	(0.344)	(0.377)	(0.310)	(0.380)	(0.428)
married		0.331	0.491	0.323	0.272	0.519	0.280	0.662	0.387
		(0.387)	(0.343)	(0.386)	(0.408)	(0.389)	(0.282)	(0.399)	(0.292)
white		5.352***	4.697**	5.357***	5.348***	4.991***	4.393***	3.407	3.469***
		(1.691)	(2.059)	(1.716)	(1.708)	(1.842)	(1.227)	(2.782)	(1.178)
black		2.976	2.283	2.972	2.975	2.640	2.424*	1.229	1.685
		(1.833)	(2.136)	(1.857)	(1.847)	(1.959)	(1.359)	(2.908)	(1.268)
indian		2.859	2.125	2.851	2.850	2.766	2.967**	0.945	2.189
		(1.798)	(2.207)	(1.819)	(1.813)	(1.992)	(1.381)	(3.031)	(1.472)
asian		0.890	0.594	0.898	0.881	0.452	0.973	-1.310	0.740
		(1.650)	(1.985)	(1.678)	(1.668)	(1.808)	(1.195)	(2.751)	(1.213)
pacific		1.423	0.063	1.400	1.433	1.166	1.079	-0.103	1.191
		(2.212)	(3.031)	(2.220)	(2.214)	(2.249)	(1.602)	(2.848)	(2.471)
