	(1)	(2)	(3)
VARIABLES	(1) Full Sample + Gender Interaction	(2) Women Only	(3) Men Only
			
did_ind	0.292	0.291	-1.191*
	(0.618)	(0.642)	(0.687)
treatment_ind	2.735***	3.500***	2.763
	(1.001)	(0.993)	(1.786)
post_tcja	-0.434	-1.276	0.336
	(0.804)	(1.096)	(0.783)
age	0.151***	0.287***	-0.007
	(0.054)	(0.091)	(0.081)
age_2	-0.076	-0.203**	0.078
	(0.062)	(0.098)	(0.086)
full_time	-4.302***	-4.803***	-2.742***
	(0.442)	(0.492)	(0.463)
educ_2	1.572***	2.293***	0.975*
	(0.409)	(0.643)	(0.581)
educ_3	4.709***	5.318***	4.099***
	(0.448)	(0.687)	(0.528)
hispanic	-1.497***	-2.051***	-1.047**
	(0.344)	(0.458)	(0.433)
married	0.331	0.139	0.469
	(0.387)	(0.486)	(0.528)
white	5.352***	6.395**	5.230***
	(1.695)	(2.810)	(1.271)
black	2.972	4.013	2.912**
	(1.833)	(2.928)	(1.361)
indian		3.918	2.605*
		(3.013)	(1.382)
asian		0.964	1.760
		(2.802)	(1.428)
pacific		2.785	0.124
		(3.903)	(2.950)
other_races		5.570*	9.052***
		(2.945)	(2.761)
retired	3.055***	2.435**	3.791***
	(0.821)	(1.014)	(1.163)
hh_size	-0.497***	-0.458*	-0.528*
	(0.175)	(0.235)	(0.280)
hh_numkids	0.519**	0.439	0.618**
	(0.226)	(0.327)	(0.305)
ageychild	-0.036	-0.055	-0.025
	(0.031)	(0.050)	(0.045)
2.famincome		1.893	-3.003*
		(1.537)	(1.637)
3.famincome		0.521	-2.296
		(1.051)	(1.825)
4.famincome		-0.460	-1.267
		(1.504)	(1.642)
5.famincome		-0.595	-1.534
		(1.675)	(1.906)
6.famincome		0.012	-1.268
		(1.291)	(1.644)
7.famincome		0.900	-1.097
		(1.132)	(1.766)
8.famincome		1.805	0.328
		(1.344)	(1.725)
9.famincome		1.279	0.451
		(0.927)	(1.699)
10.famincome		1.736	-0.432
		(1.219)	(1.549)
11.famincome		2.104*	0.391
		(1.126)	(1.435)
12.famincome		-2.064***	-0.574
		(0.692)	(1.000)
13.famincome		-0.876	-1.281**
		(0.615)	(0.545)
15.famincome		3.527***	2.482
		(0.964)	(1.615)
16.famincome		4.310***	2.979*
		(1.062)	(1.694)
male	-2.157***		
	(0.628)		
did_ind_male	-1.540*		
	(0.850)		
Constant	-3.876*	-7.382**	-3.106
	(2.063)	(3.241)	(2.814)
			
Observations	87,779	47,296	40,483
R-squared	0.019	0.019	0.020
Sample		Women only	Men only
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
