	(1)	(2)	(3)	(4)	(5)
VARIABLES	Happiness	Stress (reversed)	Pain	Tiredness	Meaning
					
did_ind	-0.111	-0.012	0.060	-0.032	-0.199**
	(0.071)	(0.079)	(0.072)	(0.081)	(0.086)
treatment_ind	0.139	-0.176	-0.312***	-0.062	-0.033
	(0.120)	(0.147)	(0.096)	(0.141)	(0.106)
post_tcja	0.068	0.076*	0.081*	0.138**	0.028
	(0.052)	(0.043)	(0.046)	(0.052)	(0.053)
financial_act	-0.492***	0.671***	0.155	-0.053	0.190
	(0.082)	(0.133)	(0.156)	(0.130)	(0.116)
c.did_ind#c.financial_act	0.321	-0.176	0.305	-0.217	0.039
	(0.405)	(0.561)	(0.446)	(0.431)	(0.364)
c.post_tcja#c.financial_act	-0.474**	0.364	0.132	0.378	-0.135
	(0.205)	(0.337)	(0.225)	(0.257)	(0.169)
duration	-0.001***	0.002***	0.001***	0.000**	0.000
	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
male	-0.131***	-0.178***	-0.072*	-0.292***	-0.203***
	(0.038)	(0.045)	(0.040)	(0.035)	(0.034)
age	-0.015***	0.042***	0.078***	0.008	0.040***
	(0.005)	(0.005)	(0.007)	(0.005)	(0.006)
age_2	0.021***	-0.048***	-0.066***	-0.017***	-0.026***
	(0.005)	(0.005)	(0.007)	(0.006)	(0.007)
full_time	-0.036	0.131***	-0.324***	0.223***	0.002
	(0.030)	(0.035)	(0.039)	(0.038)	(0.035)
male_full_time	0.091*	-0.117**	-0.030	-0.112*	0.087
	(0.049)	(0.051)	(0.052)	(0.060)	(0.054)
educ_2	0.027	-0.167***	-0.253***	-0.229***	-0.033
	(0.040)	(0.048)	(0.057)	(0.058)	(0.060)
educ_3	-0.106***	0.064	-0.348***	-0.178***	-0.065
	(0.036)	(0.039)	(0.052)	(0.045)	(0.054)
hispanic	0.228***	-0.067	-0.081**	-0.068	0.254***
	(0.037)	(0.081)	(0.034)	(0.082)	(0.051)
married	0.112***	-0.017	-0.094**	-0.055	0.106***
	(0.034)	(0.042)	(0.039)	(0.047)	(0.032)
white	0.319	-0.034	-0.132	-0.250	-0.759**
	(0.646)	(0.747)	(0.496)	(0.456)	(0.334)
black	0.571	-0.306	-0.241	-0.433	-0.482
	(0.648)	(0.746)	(0.488)	(0.455)	(0.340)
indian	0.195	-0.163	-0.104	-0.134	-0.665**
	(0.659)	(0.708)	(0.532)	(0.380)	(0.324)
asian	0.206	-0.021	-0.218	-0.411	-0.573*
	(0.661)	(0.707)	(0.512)	(0.450)	(0.324)
pacific	0.518	0.034	-0.089	-0.381	-0.647
	(0.824)	(0.894)	(0.527)	(0.607)	(0.642)
other_races	0.265	0.289	0.143	-0.147	-0.560
	(0.647)	(0.744)	(0.534)	(0.442)	(0.337)
retired	0.050	-0.192***	-0.219***	-0.161***	-0.010
	(0.038)	(0.053)	(0.051)	(0.057)	(0.043)
hh_size	0.018	0.034	0.034**	0.032	0.047***
	(0.016)	(0.021)	(0.015)	(0.020)	(0.013)
hh_numkids	-0.015	0.019	-0.050**	0.012	0.003
	(0.018)	(0.029)	(0.024)	(0.022)	(0.025)
ageychild	-0.005**	-0.000	0.001	0.003	-0.010***
	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)
2.famincome	-0.018	0.160	0.522**	0.140	-0.086
	(0.134)	(0.185)	(0.220)	(0.173)	(0.178)
3.famincome	0.044	-0.055	0.404***	-0.004	-0.038
	(0.121)	(0.131)	(0.147)	(0.171)	(0.153)
4.famincome	-0.046	0.160	0.141	0.180	-0.245
	(0.141)	(0.143)	(0.130)	(0.169)	(0.157)
5.famincome	-0.005	-0.024	0.219*	0.024	-0.076
	(0.152)	(0.141)	(0.125)	(0.174)	(0.132)
6.famincome	0.052	0.067	0.332**	0.261**	0.049
	(0.122)	(0.146)	(0.134)	(0.125)	(0.101)
7.famincome	-0.003	-0.001	0.152	0.156	0.031
	(0.126)	(0.166)	(0.102)	(0.135)	(0.092)
8.famincome	0.085	-0.128	-0.119	-0.075	-0.109
	(0.109)	(0.130)	(0.101)	(0.139)	(0.102)
9.famincome	0.026	-0.095	-0.056	-0.013	-0.010
	(0.122)	(0.132)	(0.105)	(0.134)	(0.101)
10.famincome	0.061	-0.144	-0.179*	-0.037	-0.029
	(0.112)	(0.123)	(0.097)	(0.127)	(0.105)
11.famincome	0.056	-0.070	-0.072	0.037	-0.075
	(0.133)	(0.145)	(0.107)	(0.134)	(0.104)
12.famincome	-0.002	-0.063	0.016	-0.086	0.056
	(0.102)	(0.074)	(0.058)	(0.075)	(0.067)
13.famincome	-0.024	-0.011	0.072*	0.094	-0.013
	(0.058)	(0.051)	(0.038)	(0.057)	(0.062)
15.famincome	0.074	-0.225*	-0.381***	-0.172	-0.171*
	(0.108)	(0.131)	(0.089)	(0.144)	(0.096)
16.famincome	0.097	-0.131	-0.451***	-0.142	-0.143
	(0.115)	(0.123)	(0.087)	(0.129)	(0.105)
Constant	3.884***	0.537	-0.205	2.677***	3.367***
	(0.602)	(0.753)	(0.562)	(0.459)	(0.391)
					
Observations	97,889	97,889	97,889	97,889	97,889
R-squared	0.050	0.076	0.088	0.032	0.073
Controls	Yes	Yes	Yes	Yes	Yes
State FE	Yes	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes	Yes
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
