	(1)	(2)	(3)
VARIABLES	Happiness (Fin. Only)	Stress (Fin. Only)	Tiredness (Fin. Only)
			
did_ind	0.207	-0.417	-0.426
	(0.304)	(0.544)	(0.308)
treatment_ind	-0.557	0.467	1.128
	(0.656)	(0.551)	(0.679)
post_tcja	0.059	0.131	0.060
	(0.277)	(0.292)	(0.186)
duration	-0.001	0.002***	-0.001
	(0.001)	(0.001)	(0.001)
male	-0.049	-0.654**	-0.224
	(0.170)	(0.256)	(0.216)
age	0.006	0.025	-0.013
	(0.025)	(0.023)	(0.031)
age_2	-0.001	-0.032	0.006
	(0.025)	(0.024)	(0.033)
full_time	-0.047	0.100	0.642***
	(0.225)	(0.282)	(0.173)
male_full_time	0.109	-0.214	-0.657**
	(0.269)	(0.456)	(0.247)
educ_2	-0.863*	0.626	0.190
	(0.430)	(0.435)	(0.364)
educ_3	-0.296	0.500	0.148
	(0.426)	(0.446)	(0.337)
hispanic	0.552	-0.068	0.053
	(0.334)	(0.290)	(0.195)
married	0.239	-0.014	-0.099
	(0.214)	(0.182)	(0.182)
white	0.388	-1.114*	-0.213
	(0.487)	(0.649)	(0.498)
black	0.142	-0.578	0.251
	(0.536)	(0.742)	(0.567)
indian	-0.085	-3.737***	-2.792***
	(1.484)	(0.694)	(0.565)
asian	1.034*	-1.311**	0.048
	(0.543)	(0.650)	(0.535)
retired	-0.064	0.099	0.372
	(0.279)	(0.386)	(0.328)
hh_size	0.126	0.042	-0.027
	(0.078)	(0.108)	(0.150)
hh_numkids	-0.334*	-0.187	0.110
	(0.189)	(0.137)	(0.220)
ageychild	0.018	0.029	0.007
	(0.027)	(0.019)	(0.023)
2.famincome	-0.998	2.824**	2.418***
	(0.984)	(1.149)	(0.729)
3.famincome	0.228	0.652	-0.029
	(0.834)	(0.788)	(0.845)
4.famincome	0.343	0.795	1.113
	(0.653)	(0.749)	(0.868)
5.famincome	-0.867	1.624***	2.073***
	(0.663)	(0.520)	(0.720)
6.famincome	-0.183	0.164	1.459**
	(0.595)	(0.532)	(0.657)
7.famincome	-1.196*	0.672	0.799
	(0.659)	(0.486)	(0.686)
8.famincome	0.335	0.299	0.721
	(0.714)	(0.535)	(0.697)
9.famincome	0.142	1.022	1.600**
	(0.638)	(0.617)	(0.782)
10.famincome	-0.315	1.315*	1.422**
	(0.579)	(0.672)	(0.638)
11.famincome	-0.893	1.101*	1.378**
	(0.589)	(0.611)	(0.677)
12.famincome	0.654**	0.622*	0.341
	(0.290)	(0.371)	(0.282)
13.famincome	0.502	-0.249	-0.142
	(0.319)	(0.388)	(0.286)
15.famincome	-0.752	0.884	1.226
	(0.664)	(0.533)	(0.737)
16.famincome	-0.817	0.501	0.635
	(0.621)	(0.513)	(0.644)
Constant	3.772***	0.826	2.710**
	(0.953)	(1.053)	(1.216)
			
Observations	1,576	1,576	1,576
R-squared	0.218	0.243	0.220
Controls	Yes	Yes	Yes
State FE	Yes	Yes	Yes
Year FE	Yes	Yes	Yes
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
