	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Educ: Less than HS	Educ: Some College	Educ: College+	Low/Mid SALT (Q1-Q4)	High SALT (Q5)	Gender: Women	Gender: Men
							
did_ind	1.026	-0.211	-1.355**	-0.278	-1.178*	0.291	-1.191*
	(1.358)	(1.373)	(0.647)	(0.601)	(0.633)	(0.642)	(0.687)
treatment_ind	0.376	0.707	0.663	3.111**	3.228*	3.500***	2.763
	(0.891)	(0.827)	(0.466)	(1.169)	(1.574)	(0.993)	(1.786)
post_tcja	0.629	-0.335	0.330	-0.530	-0.158	-1.276	0.336
	(2.036)	(1.273)	(1.107)	(0.980)	(1.061)	(1.096)	(0.783)
male	-0.889	-4.423***	-1.471*	-2.164***	-1.996*		
	(0.605)	(0.670)	(0.772)	(0.448)	(0.995)		
age	0.078	-0.044	0.314***	0.145**	0.168*	0.287***	-0.007
	(0.061)	(0.087)	(0.083)	(0.069)	(0.075)	(0.091)	(0.081)
age_2	-0.113	0.117	-0.220**	-0.080	-0.066	-0.203**	0.078
	(0.069)	(0.097)	(0.091)	(0.078)	(0.093)	(0.098)	(0.086)
full_time	0.523	-3.048***	-4.575***	-4.259***	-4.471***	-4.803***	-2.742***
	(1.076)	(0.888)	(0.600)	(0.567)	(0.611)	(0.492)	(0.463)
male_full_time	-0.929	3.421***	-0.339	0.708	1.107		
	(1.277)	(0.882)	(0.845)	(0.558)	(1.023)		
educ_2				1.558***	1.640	2.293***	0.975*
				(0.458)	(0.897)	(0.643)	(0.581)
educ_3				4.532***	5.293***	5.318***	4.099***
				(0.504)	(0.723)	(0.687)	(0.528)
hispanic	-1.641***	-1.706***	-2.618***	-1.485***	-1.305**	-2.051***	-1.047**
	(0.598)	(0.629)	(0.386)	(0.448)	(0.455)	(0.458)	(0.433)
married	1.812**	0.640	0.665	0.418	-0.015	0.139	0.469
	(0.710)	(0.435)	(0.480)	(0.452)	(0.689)	(0.486)	(0.528)
white	2.822**	5.784***	6.160**	5.551***	4.940	6.395**	5.230***
	(1.250)	(1.080)	(2.397)	(1.932)	(3.558)	(2.810)	(1.271)
black	1.547	2.724**	3.220	3.067	2.873	4.013	2.912**
	(1.472)	(1.340)	(2.488)	(2.043)	(3.978)	(2.928)	(1.361)
indian	0.958	2.185	3.773	3.586*	0.479	3.918	2.605*
	(1.992)	(1.626)	(2.912)	(2.115)	(3.608)	(3.013)	(1.382)
asian	1.154	0.676	1.550	1.258	0.498	0.964	1.760
	(1.769)	(1.113)	(2.467)	(2.073)	(3.302)	(2.802)	(1.428)
pacific	-0.534	3.930	1.107	5.615	-1.899	2.785	0.124
	(1.673)	(3.647)	(2.877)	(3.439)	(2.554)	(3.903)	(2.950)
other_races	6.101*	5.267***	7.925**	6.319**	7.712*	5.570*	9.052***
	(3.222)	(1.475)	(3.123)	(2.505)	(3.827)	(2.945)	(2.761)
retired	2.718*	0.679	4.609***	2.761***	3.942**	2.435**	3.791***
	(1.508)	(1.107)	(1.003)	(0.999)	(1.307)	(1.014)	(1.163)
hh_size	-0.270	-0.424	-0.201	-0.346	-0.732***	-0.458*	-0.528*
	(0.245)	(0.336)	(0.255)	(0.251)	(0.116)	(0.235)	(0.280)
hh_numkids	-0.104	0.640	0.137	0.420	0.617**	0.439	0.618**
	(0.249)	(0.422)	(0.304)	(0.323)	(0.204)	(0.327)	(0.305)
ageychild	-0.002	-0.044	-0.048	-0.059*	0.022	-0.055	-0.025
	(0.046)	(0.083)	(0.038)	(0.035)	(0.048)	(0.050)	(0.045)
2.famincome				-0.391	-0.085	1.893	-3.003*
				(1.315)	(3.042)	(1.537)	(1.637)
3.famincome				-0.582	-1.671**	0.521	-2.296
				(1.291)	(0.683)	(1.051)	(1.825)
4.famincome				-0.287	-2.819	-0.460	-1.267
				(1.351)	(1.611)	(1.504)	(1.642)
5.famincome				-1.982*	1.926	-0.595	-1.534
				(1.166)	(2.778)	(1.675)	(1.906)
6.famincome				-0.036	-2.511	0.012	-1.268
				(1.212)	(2.097)	(1.291)	(1.644)
7.famincome				0.818	-2.609	0.900	-1.097
				(1.109)	(1.500)	(1.132)	(1.766)
8.famincome				1.425	0.350	1.805	0.328
				(1.369)	(2.077)	(1.344)	(1.725)
9.famincome				0.643	1.926	1.279	0.451
				(1.046)	(1.901)	(0.927)	(1.699)
10.famincome				1.147	-0.575	1.736	-0.432
				(1.185)	(2.059)	(1.219)	(1.549)
11.famincome				1.522	0.732	2.104*	0.391
				(0.987)	(1.765)	(1.126)	(1.435)
12.famincome				-1.115	-1.877	-2.064***	-0.574
				(0.709)	(1.046)	(0.692)	(1.000)
13.famincome				-0.866**	-1.641*	-0.876	-1.281**
				(0.407)	(0.782)	(0.615)	(0.545)
15.famincome				3.476***	1.736	3.527***	2.482
				(1.118)	(1.587)	(0.964)	(1.615)
16.famincome				3.602***	3.384*	4.310***	2.979*
				(1.175)	(1.817)	(1.062)	(1.694)
Constant	1.256	4.228**	-4.076	-4.011	-0.963	-7.382**	-3.106
	(2.340)	(2.023)	(2.785)	(2.506)	(3.802)	(3.241)	(2.814)
							
Observations	10,379	21,118	56,282	64,690	23,089	47,296	40,483
R-squared	0.040	0.015	0.019	0.018	0.023	0.019	0.020
Subgroup	Education	Education	Education	SALT exposure	SALT exposure	Gender	Gender
Group	Less than HS	Some College	College+	Low/Mid SALT (Q1-Q4)	High SALT (Q5)	Women	Men
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
