	(1)	(2)	(3)
VARIABLES	(1) State Intensity x Post	(2) Triple Interaction	(3) High-SALT x Treat x Post
			
did_triple		-7.247	
		(8.874)	
did_state	-0.938	1.215	
	(4.707)	(4.811)	
did_ind		1.793	-0.270
		(2.897)	(0.608)
ti_x_treat		5.109	
		(6.524)	
treatment_ind		1.587	3.055***
		(2.365)	(0.980)
male	-2.129***	-2.126***	-2.125***
	(0.422)	(0.423)	(0.424)
age	0.151***	0.151***	0.151***
	(0.054)	(0.054)	(0.054)
age_2	-0.076	-0.075	-0.076
	(0.062)	(0.062)	(0.062)
full_time	-4.305***	-4.304***	-4.305***
	(0.441)	(0.441)	(0.441)
male_full_time	0.824*	0.820*	0.820*
	(0.485)	(0.484)	(0.485)
educ_2	1.571***	1.568***	1.569***
	(0.407)	(0.407)	(0.408)
educ_3	4.710***	4.706***	4.706***
	(0.447)	(0.446)	(0.447)
hispanic	-1.502***	-1.497***	-1.498***
	(0.343)	(0.343)	(0.343)
married	0.332	0.334	0.334
	(0.387)	(0.385)	(0.385)
white	5.360***	5.372***	5.389***
	(1.704)	(1.701)	(1.712)
black	2.982	2.995	3.013
	(1.847)	(1.843)	(1.853)
indian	2.873	2.878	2.900
	(1.809)	(1.804)	(1.812)
asian	0.895	0.911	0.929
	(1.665)	(1.660)	(1.669)
pacific	1.434	1.452	1.473
	(2.220)	(2.207)	(2.205)
other_races	6.772***	6.792***	6.808***
	(2.053)	(2.053)	(2.064)
retired	3.055***	3.058***	3.058***
	(0.820)	(0.820)	(0.819)
hh_size	-0.495***	-0.497***	-0.497***
	(0.175)	(0.175)	(0.175)
hh_numkids	0.518**	0.520**	0.520**
	(0.227)	(0.227)	(0.227)
ageychild	-0.036	-0.036	-0.036
	(0.031)	(0.031)	(0.031)
2.famincome	-0.319	-0.314	-0.313
	(1.215)	(1.217)	(1.217)
3.famincome	-0.813	-0.812	-0.810
	(0.993)	(0.994)	(0.994)
4.famincome	-0.873	-0.873	-0.871
	(1.099)	(1.098)	(1.099)
5.famincome	-1.057	-1.055	-1.054
	(1.132)	(1.133)	(1.134)
6.famincome	-0.630	-0.627	-0.626
	(1.111)	(1.109)	(1.109)
7.famincome	0.011	0.006	0.008
	(0.987)	(0.986)	(0.986)
8.famincome	1.159	1.159	1.160
	(1.145)	(1.143)	(1.143)
9.famincome	0.966	0.963	0.963
	(0.937)	(0.935)	(0.934)
10.famincome	0.751	0.744	0.743
	(1.041)	(1.039)	(1.039)
11.famincome	1.361	1.357	1.356
	(0.854)	(0.852)	(0.851)
12.famincome	1.617*	-1.322**	-1.325**
	(0.837)	(0.585)	(0.584)
13.famincome	1.860**	-1.078***	-1.079***
	(0.857)	(0.354)	(0.353)
15.famincome	3.048***	3.038***	3.035***
	(0.927)	(0.924)	(0.922)
16.famincome	3.703***	3.683***	3.681***
	(0.981)	(0.977)	(0.976)
14.famincome	2.934***		
	(0.820)		
did_salt_treat			-0.852
			(0.894)
did_salt			0.046
			(0.538)
Constant	-3.852*	-3.848*	-3.905*
	(2.115)	(2.073)	(2.066)
			
Observations	87,779	87,779	87,779
R-squared	0.019	0.019	0.019
State FE	Yes	Yes	Yes
Year FE	Yes	Yes	Yes
Spec	State-level continuous	Triple interaction	Discrete SALT interaction
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
