	(1)	(2)	(3)	(4)
			(3) Broad	(4) Narrow
VARIABLES	(1) Broad Outcome	(2) Narrow: Tax Time	Clean Sample	Clean Sample
				
did_ind	-0.309	-0.946	0.869	-0.025
	(0.687)	(0.674)	(0.782)	(0.671)
did_x_season	-0.639	0.187	-1.102	-0.443
	(1.144)	(0.935)	(1.483)	(1.185)
treatment_ind	3.589***	1.951*	2.708***	1.372
	(0.968)	(0.980)	(1.000)	(1.019)
post_tcja	-0.247	0.353	-1.596*	-1.059
	(0.768)	(0.628)	(0.923)	(0.727)
tax_season	0.797	-0.491	0.596	-0.309
	(0.522)	(0.557)	(0.711)	(0.602)
treat_x_season	-1.109	-0.970	-0.910	-1.155
	(0.709)	(0.599)	(0.914)	(0.733)
post_x_season	-0.462	-0.396	-0.063	0.243
	(0.758)	(0.737)	(0.932)	(0.772)
male	-2.135***	-2.473***	-2.517***	-2.658***
	(0.423)	(0.323)	(0.480)	(0.375)
age	0.150***	0.100***	0.080	0.046
	(0.054)	(0.037)	(0.078)	(0.063)
age_2	-0.075	-0.083*	-0.002	-0.020
	(0.062)	(0.042)	(0.086)	(0.069)
full_time	-4.305***	-3.142***	-3.423***	-2.520***
	(0.442)	(0.363)	(0.634)	(0.552)
male_full_time	0.831*	1.226***	1.353*	1.748***
	(0.484)	(0.423)	(0.675)	(0.531)
educ_2	1.569***	0.942**	1.764***	0.974
	(0.409)	(0.380)	(0.653)	(0.599)
educ_3	4.705***	3.023***	4.395***	2.811***
	(0.448)	(0.394)	(0.713)	(0.606)
hispanic	-1.497***	-1.349***	-2.233***	-1.881***
	(0.343)	(0.311)	(0.458)	(0.428)
married	0.332	0.286	0.494	0.395
	(0.385)	(0.279)	(0.342)	(0.290)
white	5.281***	4.378***	4.566**	3.395***
	(1.692)	(1.243)	(2.055)	(1.181)
black	2.902	2.401*	2.152	1.602
	(1.832)	(1.373)	(2.130)	(1.267)
indian	2.801	2.963**	2.028	2.138
	(1.794)	(1.398)	(2.209)	(1.487)
asian	0.830	0.963	0.480	0.678
	(1.646)	(1.197)	(1.980)	(1.211)
pacific	1.305	1.046	-0.145	1.067
	(2.209)	(1.563)	(3.028)	(2.449)
other_races	6.733***	5.362***	7.179**	4.623**
	(2.044)	(1.733)	(3.140)	(2.038)
retired	3.045***	2.387***	2.147***	2.083***
	(0.816)	(0.579)	(0.795)	(0.616)
hh_size	-0.499***	-0.491***	-0.713***	-0.632***
	(0.175)	(0.136)	(0.194)	(0.130)
hh_numkids	0.519**	0.522***	0.829***	0.723***
	(0.227)	(0.188)	(0.238)	(0.183)
ageychild	-0.036	-0.020	-0.009	-0.002
	(0.031)	(0.028)	(0.039)	(0.032)
2.famincome	-0.288	-0.799	-0.333	-0.827
	(1.219)	(1.037)	(1.225)	(1.053)
3.famincome	-0.811	-1.229	-0.688	-1.202
	(1.001)	(0.895)	(0.998)	(0.901)
4.famincome	-0.856	-0.874	-0.804	-0.918
	(1.104)	(0.996)	(1.106)	(1.004)
5.famincome	-1.032	-1.102	-0.970	-1.167
	(1.131)	(0.946)	(1.125)	(0.943)
6.famincome	-0.602	-1.329	-0.555	-1.395
	(1.115)	(1.007)	(1.144)	(1.023)
7.famincome	0.032	-0.829	0.048	-0.908
	(0.990)	(0.844)	(1.024)	(0.871)
8.famincome	1.180	0.243	1.113	0.113
	(1.144)	(0.991)	(1.172)	(1.008)
9.famincome	0.970	0.163	0.905	-0.002
	(0.936)	(0.907)	(0.912)	(0.904)
10.famincome	0.750	-0.442		
	(1.038)	(0.922)		
11.famincome	1.374	0.142		
	(0.852)	(0.833)		
12.famincome	-1.322**	-0.710	-1.210**	-0.626
	(0.580)	(0.559)	(0.576)	(0.553)
13.famincome	-1.074***	-0.630*	-1.006***	-0.584
	(0.354)	(0.364)	(0.355)	(0.358)
15.famincome	3.054***	1.350		
	(0.921)	(0.838)		
16.famincome	3.702***	1.771*		
	(0.967)	(0.985)		
Constant	-4.085*	-0.846	0.180	2.230
	(2.043)	(1.577)	(2.506)	(1.654)
				
Observations	87,779	87,779	53,954	53,954
R-squared	0.019	0.012	0.019	0.013
Controls	Yes	Yes	Yes	Yes
State FE	Yes	Yes	Yes	Yes
Year FE	Yes	Yes	Yes	Yes
Outcome	All financial mgmt	Tax/insurance minutes only	All financial mgmt	Tax/insurance minutes only
Sample			PREFERRED: 50-100k vs <35k	PREFERRED: 50-100k vs <35k
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
